
Summary,CR
Emissions
,Accidents,124.567
,Health,6.14327
,Congestion,60.5098
,CO2e,157.123
,CO2e_HeavyCargo,25.7226
,CO2e_sources,158.412
,CO2e_LightCargo,20.7412
,CO2e_Freight,46.4637

Cost,219743

TID Demand

,CR
Fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E5AGRDSL,All,1.671,1.7124,1.7538,1.7952,1.8367,1.8781,1.9195,1.9609,2.0023,2.0437,2.0851,2.1265,2.168,2.2094,2.2508,2.2922,2.3336,2.375,2.4164,2.4579,2.4993,2.5407,2.5821,2.6235,2.6649,2.7063,2.7477,2.7892,2.8306,2.872,2.9134,2.9548,2.9962
E5AGRELE,All,1.1777,1.2064,1.2351,1.2638,1.2925,1.3212,1.3499,1.3785,1.4072,1.4359,1.4646,1.4933,1.522,1.5507,1.5794,1.6081,1.6368,1.6655,1.6942,1.7229,1.7516,1.7802,1.8089,1.8376,1.8663,1.895,1.9237,1.9524,1.9811,2.0098,2.0385,2.0672,2.0959
E5COMLPG,All,1.209,1.2557,1.3082,1.3573,1.4064,1.4571,1.5065,1.5562,1.6063,1.6559,1.7057,1.7556,1.8053,1.8551,1.905,1.9547,2.0046,2.0544,2.1041,2.154,2.2038,2.2536,2.3034,2.3532,2.403,2.4528,2.5026,2.5524,2.6022,2.652,2.7018,2.7516,2.8014
E5COMELE,All,9.1536,9.3766,9.5996,9.7349,9.8701,10.0054,10.1406,10.2759,10.4112,10.5464,10.6817,10.817,10.9522,11.0875,11.2227,11.358,11.4933,11.6285,11.7638,11.8991,12.0343,12.1696,12.3048,12.4401,12.5754,12.7106,12.8459,12.9812,13.1164,13.2517,13.3869,13.5222,13.6575
E5INDDSL,All,2.759,2.8274,2.8958,2.9641,3.0325,3.1009,3.1693,3.2376,3.306,3.3744,3.4428,3.5112,3.5795,3.6479,3.7163,3.7847,3.853,3.9214,3.9898,4.0582,4.1266,4.1949,4.2633,4.3317,4.4001,4.4685,4.5368,4.6052,4.6736,4.742,4.8103,4.8787,4.9471
E5INDLPG,All,3.107,3.2269,3.362,3.4882,3.6143,3.7446,3.8716,3.9993,4.1279,4.2555,4.3835,4.5117,4.6395,4.7675,4.8955,5.0235,5.1515,5.2795,5.4074,5.5354,5.6634,5.7914,5.9194,6.0474,6.1753,6.3033,6.4313,6.5593,6.6873,6.8152,6.9432,7.0712,7.1992
E5INDELE,All,7.3228,7.5013,7.6797,7.7724,7.8651,7.9579,8.0506,8.1433,8.2361,8.3288,8.4215,8.5142,8.607,8.6997,8.7924,8.8852,8.9779,9.0706,9.1634,9.2561,9.3488,9.4416,9.5343,9.627,9.7197,9.8125,9.9052,9.9979,10.0907,10.1834,10.2761,10.3689,10.4616
E5INDHYD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDBM,All,18.7233,19.0281,19.3584,19.6633,19.9681,20.2857,20.6032,20.9208,21.2257,21.5432,21.8608,22.1656,22.4832,22.788,23.1183,23.4232,23.7407,24.0456,24.3758,24.6807,24.9856,25.3031,25.6207,25.9382,26.2431,26.5607,26.8782,27.1831,27.5006,27.8055,28.1357,28.466,28.7963
E5INDBF,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDFOI,All,3.939,3.8517,3.7644,3.6771,3.5899,3.5026,3.4153,3.328,3.2407,3.1534,3.0661,2.9788,2.8916,2.8043,2.717,2.6297,2.5424,2.4551,2.3678,2.2806,2.1933,2.106,2.0187,1.9314,1.8441,1.7568,1.6696,1.5823,1.495,1.4077,1.3204,1.2331,1.1458
E5PUBELE,All,4.7599,4.8758,4.9068,4.9769,5.0469,5.1169,5.1869,5.257,5.327,5.397,5.467,5.5371,5.6071,5.6771,5.7471,5.8172,5.8872,5.9572,6.0272,6.0973,6.1673,6.2373,6.3073,6.3774,6.4474,6.5174,6.5874,6.6575,6.7275,6.7975,6.8675,6.9376,7.0076
E5RESLPG,All,3.099,3.2186,3.3533,3.4792,3.605,3.7349,3.8617,3.989,4.1173,4.2446,4.3722,4.5001,4.6276,4.7552,4.8829,5.0105,5.1382,5.2659,5.3935,5.5212,5.6488,5.7765,5.9041,6.0318,6.1594,6.2871,6.4147,6.5424,6.67,6.7977,6.9253,7.053,7.1807
E5RESELE,All,13.9134,14.2524,14.5914,14.7542,14.917,15.0798,15.2426,15.4055,15.5683,15.7311,15.8939,16.0567,16.2196,16.3824,16.5452,16.708,16.8708,17.0336,17.1965,17.3593,17.5221,17.6849,17.8477,18.0105,18.1734,18.3362,18.499,18.6618,18.8246,18.9874,19.1503,19.3131,19.4759
E5EXPELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4GSL_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4HYD_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4GSL_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4HYD_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4GSL_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRSUV,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRSED,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRMOT,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRBUS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRMBUS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRTAX,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRXTRAI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRXTRAIFRE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRYTK,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRYLF,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6TDPASPRI,All,25.7466,26.2889,19.8219,22.9141,26.3054,26.9738,27.6904,28.4106,29.1284,29.8337,30.5119,31.1412,31.6893,32.112,32.3523,32.3476,32.0491,31.4545,30.6379,29.7439,28.9369,28.3366,27.9922,27.8947,28.0069,28.2842,28.6873,29.1845,29.7526,30.3743,31.0379,31.7351,32.4599
E6TDPASPUB,All,8.3163,8.4916,6.4026,7.4014,8.4969,8.7416,8.9894,9.2477,9.5202,9.8131,10.1358,10.5038,10.9413,11.4836,12.179,13.0831,14.2426,15.6645,17.2875,18.9865,20.6204,22.0905,23.3641,24.4589,25.4149,26.2741,27.0712,27.8318,28.5733,29.3074,30.0418,30.7813,31.5291
E6TDFREHEA,All,20.8523,21.3391,20.4511,21.2606,22.0591,22.7308,23.4229,24.1361,24.8711,25.6284,26.4088,27.2129,28.0416,28.8954,29.7753,30.682,31.6162,32.5789,33.571,34.5932,35.6466,36.732,37.8505,39.003,40.1907,41.4145,42.6756,43.975,45.3141,46.6939,48.1157,49.5808,51.0906
E6TDFRELIG,All,6.3187,6.4662,6.1971,6.4424,6.6844,6.8879,7.0977,7.3138,7.5365,7.766,8.0025,8.2461,8.4972,8.756,9.0226,9.2973,9.5804,9.8721,10.1728,10.4825,10.8017,11.1306,11.4695,11.8188,12.1787,12.5495,12.9316,13.3254,13.7312,14.1493,14.5801,15.0241,15.4816
E6TRNOMOT,All,0,0,0,0,0,0.0431,0.0615,0.0877,0.1245,0.1762,0.2483,0.3474,0.4821,0.6614,0.8946,1.1887,1.5464,1.9633,2.4269,2.9179,3.4136,3.893,4.3402,4.7467,5.1101,5.4331,5.7209,5.9798,6.2159,6.435,6.6414,6.8391,7.031

Time Dependent Production (Energy Units) Test

,CR
Fuel,Timeslice,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E1DSL,All,41.8706,41.4034,37.0021,39.0916,41.2546,40.5946,40.0636,39.5332,38.0167,37.24,36.3321,35.5076,33.9198,33.1716,32.5342,31.4396,30.0814,28.5943,26.9472,25.5021,23.5816,21.3781,18.7232,16.6336,14.8597,13.5239,12.4934,11.6524,11.2746,10.9343,11.0504,11.1495,11.0574
E1GSL,All,41.5877,43.0215,33.4117,37.4614,41.8859,42.2029,42.8061,43.2333,43.5229,43.6755,43.6258,42.9585,41.3827,40.6259,38.671,36.0361,32.6976,28.8074,24.6025,19.738,16.0535,12.6342,9.77535,7.50102,5.64039,4.18733,3.07586,2.5975,2.61531,2.1936,1.46437,0.56062,0.54541
E1LPG,All,7.415,7.7012,8.0235,8.3247,8.6257,9.61596,10.6389,11.7072,12.8232,13.9844,15.1949,16.4581,17.7738,18.0792,18.3848,18.6901,18.7615,18.4406,17.7179,16.9266,15.7522,15.2173,15.4205,15.5566,15.8376,16.2106,16.6084,16.6248,16.6244,16.6064,16.5703,16.9647,17.1813
E1FO1,All,5.1845,4.6132,4.1614,4.2846,4.50515,4.3036,4.1018,3.9,3.69845,3.49665,3.29485,3.0933,2.8916,2.8043,2.717,2.6297,2.5424,2.4551,2.3678,2.2806,2.1933,2.106,2.0187,1.9314,1.8441,1.7568,1.6696,1.5823,1.495,1.4077,1.3204,1.2331,1.1458
E1ELE,All,40.0473,41.0231,41.9051,42.4448,42.9843,43.7916,44.5103,45.2675,46.4071,47.2906,48.2569,49.3074,50.8024,52.1321,53.7251,55.6267,57.8655,60.4255,63.2871,66.332,69.4309,72.4164,75.1914,77.7859,80.1435,82.2386,84.1548,86.0371,87.7077,89.4758,91.1617,91.527,93.0119
