REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
RD,All,PPBGS,E1BGS,2023,13.737930629508677
RD,All,PPCOA,E1COA,2018,100.98814275
RD,All,PPCOA,E1COA,2019,121.293852
RD,All,PPCOA,E1COA,2020,206.61107506
RD,All,PPCOA,E1COA,2021,138.963352
RD,All,PPCOA,E1COA,2022,147.57357056
RD,All,PPCOA,E1COA,2023,150.99878596000002
RD,All,PPCOA,E1COA,2024,156.00269946
RD,All,PPCOA,E1COA,2025,156.00269946
RD,All,PPCOA,E1COA,2026,156.00269946
RD,All,PPCOA,E1COA,2027,156.00269946
RD,All,PPCOA,E1COA,2028,156.00269946
RD,All,PPCOA,E1COA,2029,156.00269946
RD,All,PPCOA,E1COA,2030,156.00269946
RD,All,PPCOA,E1COA,2031,156.00269946
RD,All,PPCOA,E1COA,2032,156.00269946
RD,All,PPCOA,E1COA,2033,156.00269946
RD,All,PPCOA,E1COA,2034,156.00269946
RD,All,PPCOA,E1COA,2035,156.00269946
RD,All,PPCOA,E1COA,2036,156.00269946
RD,All,PPCOA,E1COA,2037,156.00269946
RD,All,PPCOA,E1COA,2038,156.00269946
RD,All,PPCOA,E1COA,2039,156.00269946
RD,All,PPCOA,E1COA,2040,156.00269946
RD,All,PPCOA,E1COA,2041,156.00269946
RD,All,PPCOA,E1COA,2042,156.00269946
RD,All,PPCOA,E1COA,2043,156.00269946
RD,All,PPCOA,E1COA,2044,156.00269946
RD,All,PPCOA,E1COA,2045,156.00269946
RD,All,PPCOA,E1COA,2046,156.00269946
RD,All,PPCOA,E1COA,2047,156.00269946
RD,All,PPCOA,E1COA,2048,156.00269946
RD,All,PPCOA,E1COA,2049,156.00269946
RD,All,PPCOA,E1COA,2050,156.00269946
RD,All,PPCCTDSL,E1DSL,2020,1.45895225
RD,All,PPCCTDSL,E1DSL,2021,0.8524406599999999
RD,All,PPCCTDSL,E1DSL,2022,0.2374875999999999
RD,All,PPCCTDSL,E1DSL,2023,0.6561366399999999
RD,All,PPCCTDSL,E1DSL,2024,5.223255839999999
RD,All,PPCCTDSL,E1DSL,2025,7.370355519999999
RD,All,PPCCTDSL,E1DSL,2026,7.370355519999999
RD,All,PPCCTDSL,E1DSL,2027,7.370355519999999
RD,All,PPCCTDSL,E1DSL,2028,7.370355519999999
RD,All,PPCCTDSL,E1DSL,2029,7.370355519999999
RD,All,PPCCTDSL,E1DSL,2030,7.370355519999999
RD,All,PPCCTDSL,E1DSL,2031,7.370355519999999
RD,All,PPCCTDSL,E1DSL,2032,9.51767232
RD,All,PPCCTDSL,E1DSL,2033,9.51767232
RD,All,PPCCTDSL,E1DSL,2034,9.51767232
RD,All,PPCCTDSL,E1DSL,2035,9.51767232
RD,All,PPCCTDSL,E1DSL,2036,9.51767232
RD,All,PPCCTDSL,E1DSL,2037,9.51767232
RD,All,PPCCTDSL,E1DSL,2038,9.51767232
RD,All,PPCCTDSL,E1DSL,2039,9.51767232
RD,All,PPCCTDSL,E1DSL,2040,9.51767232
RD,All,PPCCTDSL,E1DSL,2041,9.51767232
RD,All,PPCCTDSL,E1DSL,2042,9.51767232
RD,All,PPCCTDSL,E1DSL,2043,9.51767232
RD,All,PPCCTDSL,E1DSL,2044,9.51767232
RD,All,PPCCTDSL,E1DSL,2045,9.51767232
RD,All,PPCCTDSL,E1DSL,2046,9.51767232
RD,All,PPCCTDSL,E1DSL,2047,9.51767232
RD,All,PPCCTDSL,E1DSL,2048,9.51767232
RD,All,PPCCTDSL,E1DSL,2049,9.51767232
