,REGION,MODE_OF_OPERATION,TECHNOLOGY,FUEL,EMISSION,YEAR,TIMESLICE,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
15475,CR,1.0,PPHROR,E1ELE,,2030.0,All,,,,,,,,,,,,,,,,17.511381870839998,,,,,,,,,
15476,CR,1.0,PPHROR,E1ELE,,2031.0,All,,,,,,,,,,,,,,,,17.52178673232,,,,,,,,,
15477,CR,1.0,PPHROR,E1ELE,,2032.0,All,,,,,,,,,,,,,,,,17.532191593799997,,,,,,,,,
15478,CR,1.0,PPHROR,E1ELE,,2033.0,All,,,,,,,,,,,,,,,,17.54259645528,,,,,,,,,
15479,CR,1.0,PPHROR,E1ELE,,2034.0,All,,,,,,,,,,,,,,,,17.553001316759996,,,,,,,,,
15480,CR,1.0,PPHROR,E1ELE,,2035.0,All,,,,,,,,,,,,,,,,17.563406178239998,,,,,,,,,
15481,CR,1.0,PPHROR,E1ELE,,2036.0,All,,,,,,,,,,,,,,,,17.57381103972,,,,,,,,,
15482,CR,1.0,PPHROR,E1ELE,,2037.0,All,,,,,,,,,,,,,,,,17.584215901199997,,,,,,,,,
15483,CR,1.0,PPHROR,E1ELE,,2038.0,All,,,,,,,,,,,,,,,,17.594620762679998,,,,,,,,,
15484,CR,1.0,PPHROR,E1ELE,,2039.0,All,,,,,,,,,,,,,,,,17.60502562416,,,,,,,,,
15485,CR,1.0,PPHROR,E1ELE,,2040.0,All,,,,,,,,,,,,,,,,17.611962198479997,,,,,,,,,
15486,CR,1.0,PPHROR,E1ELE,,2041.0,All,,,,,,,,,,,,,,,,17.62236705996,,,,,,,,,
15487,CR,1.0,PPHROR,E1ELE,,2042.0,All,,,,,,,,,,,,,,,,17.632771921439996,,,,,,,,,
15488,CR,1.0,PPHROR,E1ELE,,2043.0,All,,,,,,,,,,,,,,,,17.643176782919998,,,,,,,,,
15489,CR,1.0,PPHROR,E1ELE,,2044.0,All,,,,,,,,,,,,,,,,17.6535816444,,,,,,,,,
15490,CR,1.0,PPHROR,E1ELE,,2045.0,All,,,,,,,,,,,,,,,,17.663986505879997,,,,,,,,,
15491,CR,1.0,PPHROR,E1ELE,,2046.0,All,,,,,,,,,,,,,,,,17.67439136736,,,,,,,,,
15492,CR,1.0,PPHROR,E1ELE,,2047.0,All,,,,,,,,,,,,,,,,17.684796228839996,,,,,,,,,
15493,CR,1.0,PPHROR,E1ELE,,2048.0,All,,,,,,,,,,,,,,,,17.695201090319998,,,,,,,,,
15494,CR,1.0,PPHROR,E1ELE,,2049.0,All,,,,,,,,,,,,,,,,17.7056059518,,,,,,,,,
15495,CR,1.0,PPHROR,E1ELE,,2050.0,All,,,,,,,,,,,,,,,,17.716010813279997,,,,,,,,,
15496,CR,1.0,PPGEO,E1ELE,,2018.0,All,,,,,,,,,,,,,,,,4.5460806768,,,,,,,,,
15497,CR,1.0,PPGEO,E1ELE,,2019.0,All,,,,,,,,,,,,,,,,5.7598400808,,,,,,,,,
15498,CR,1.0,PPGEO,E1ELE,,2020.0,All,,,,,,,,,,,,,,,,5.7598400808,,,,,,,,,
15499,CR,1.0,PPGEO,E1ELE,,2021.0,All,,,,,,,,,,,,,,,,5.7598400808,,,,,,,,,
15500,CR,1.0,PPGEO,E1ELE,,2022.0,All,,,,,,,,,,,,,,,,5.7598400808,,,,,,,,,
15501,CR,1.0,PPGEO,E1ELE,,2023.0,All,,,,,,,,,,,,,,,,5.786355968640001,,,,,,,,,
15502,CR,1.0,PPGEO,E1ELE,,2024.0,All,,,,,,,,,,,,,,,,5.81360840892,,,,,,,,,
15503,CR,1.0,PPGEO,E1ELE,,2025.0,All,,,,,,,,,,,,,,,,5.84012429676,,,,,,,,,
15504,CR,1.0,PPGEO,E1ELE,,2026.0,All,,,,,,,,,,,,,,,,7.1037971222400005,,,,,,,,,
15505,CR,1.0,PPGEO,E1ELE,,2027.0,All,,,,,,,,,,,,,,,,7.13590064928,,,,,,,,,
15506,CR,1.0,PPGEO,E1ELE,,2028.0,All,,,,,,,,,,,,,,,,7.16800417632,,,,,,,,,
15507,CR,1.0,PPGEO,E1ELE,,2029.0,All,,,,,,,,,,,,,,,,7.200999468,,,,,,,,,
15508,CR,1.0,PPGEO,E1ELE,,2030.0,All,,,,,,,,,,,,,,,,8.49202914924,,,,,,,,,
15509,CR,1.0,PPGEO,E1ELE,,2031.0,All,,,,,,,,,,,,,,,,8.53076729232,,,,,,,,,
15510,CR,1.0,PPGEO,E1ELE,,2032.0,All,,,,,,,,,,,,,,,,8.56845845856,,,,,,,,,
15511,CR,1.0,PPGEO,E1ELE,,2033.0,All,,,,,,,,,,,,,,,,8.60719660164,,,,,,,,,
15512,CR,1.0,PPGEO,E1ELE,,2034.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15513,CR,1.0,PPGEO,E1ELE,,2035.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15514,CR,1.0,PPGEO,E1ELE,,2036.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15515,CR,1.0,PPGEO,E1ELE,,2037.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15516,CR,1.0,PPGEO,E1ELE,,2038.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15517,CR,1.0,PPGEO,E1ELE,,2039.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15518,CR,1.0,PPGEO,E1ELE,,2040.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15519,CR,1.0,PPGEO,E1ELE,,2041.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15520,CR,1.0,PPGEO,E1ELE,,2042.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15521,CR,1.0,PPGEO,E1ELE,,2043.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15522,CR,1.0,PPGEO,E1ELE,,2044.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15523,CR,1.0,PPGEO,E1ELE,,2045.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15524,CR,1.0,PPGEO,E1ELE,,2046.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15525,CR,1.0,PPGEO,E1ELE,,2047.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15526,CR,1.0,PPGEO,E1ELE,,2048.0,All,,,,,,,,,,,,,,,,8.64488776788,,,,,,,,,
15527,CR,1.0,PPGEO,E1ELE,,2049.0,All,,,,,,,,,,,,,,,,7.5298,,,,,,,,,
15528,CR,1.0,PPGEO,E1ELE,,2050.0,All,,,,,,,,,,,,,,,,7.5298,,,,,,,,,
15529,CR,1.0,PPWNDON,E1ELE,,2018.0,All,,,,,,,,,,,,,,,,5.106763584,,,,,,,,,
15530,CR,1.0,PPWNDON,E1ELE,,2019.0,All,,,,,,,,,,,,,,,,5.421178348560001,,,,,,,,,
15531,CR,1.0,PPWNDON,E1ELE,,2020.0,All,,,,,,,,,,,,,,,,4.8568,,,,,,,,,
15532,CR,1.0,PPWNDON,E1ELE,,2021.0,All,,,,,,,,,,,,,,,,4.873,,,,,,,,,
15533,CR,1.0,PPWNDON,E1ELE,,2022.0,All,,,,,,,,,,,,,,,,4.8665,,,,,,,,,
15534,CR,1.0,PPWNDON,E1ELE,,2023.0,All,,,,,,,,,,,,,,,,5.174468352528004,,,,,,,,,
15535,CR,1.0,PPWNDON,E1ELE,,2024.0,All,,,,,,,,,,,,,,,,5.788337089632007,,,,,,,,,
