block,o_id,outcome,level,o1_fam,o1_col,o2_fam,o2_col,family,column,period,base_thr,thr_type,thr_range,thr_value,thr_value_norm,prim_option,coverage,density,avg_cov_dev,driver_col,min,max,min_norm,max_norm,query_type
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_pure_direct,Passenger transport fleet_direct,22-30,High,Low,70.93314717890453,1835279.2780499998,0.7093314717890453,base,0.7264267990074442,0.9807370184254607,0.8535819087164525,Occupancy rates PRI_direct,1.51145,1.7142,0.053454715219421446,1.0,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_disag_direct,Passenger transport fleet_direct,22-30,High,Low,70.93314717890453,1835279.2780499998,0.7093314717890453,base,0.7264267990074442,0.9807370184254607,0.8535819087164525,GDP_direct,2.0008972926093502,3.569856344852265,0.0,0.6280993732900495,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_disag_direct,Passenger transport fleet_direct,22-30,High,Low,70.93314717890453,1835279.2780499998,0.7093314717890453,base,0.7264267990074442,0.9807370184254607,0.8535819087164525,Occupancy rates PRI_direct,1.51145,1.7142,0.053454715219421446,1.0,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_pure_direct,Passenger transport fleet_direct,22-30,Low,High,41.51391071568528,1665414.9359499998,0.41513910715685276,base,0.7060702875399361,0.9744268077601411,0.8402485476500385,GDP_direct,3.007184728857994,4.498844463014162,0.40284576398209687,1.0,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_pure_direct,Passenger transport fleet_direct,22-30,Low,High,41.51391071568528,1665414.9359499998,0.41513910715685276,base,0.7060702875399361,0.9744268077601411,0.8402485476500385,Mode shift_public_direct,0.24414028848066163,0.2861342082793743,0.0,0.5526077399034051,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_disag_direct,Passenger transport fleet_direct,22-30,Low,High,41.51391071568528,1665414.9359499998,0.41513910715685276,base,0.7060702875399361,0.9744268077601411,0.8402485476500385,GDP_direct,3.007184728857994,4.498844463014162,0.40284576398209687,1.0,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_disag_direct,Passenger transport fleet_direct,22-30,Low,High,41.51391071568528,1665414.9359499998,0.41513910715685276,base,0.7060702875399361,0.9744268077601411,0.8402485476500385,Mode shift_public_direct,0.24414028848066163,0.2861342082793743,0.0,0.5526077399034051,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-35,High,High,75.0,-0.00423122207001202,0.6480325910250545,base,0.724,0.8578199052132701,0.790909952606635,Net CAPEX and OPEX of passenger transport_wrtBAU,-0.0014212150548973436,0.003225503632689003,0.6965865407118415,1.0,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-35,High,High,75.0,-0.00423122207001202,0.6480325910250545,base,0.724,0.8578199052132701,0.790909952606635,Net CAPEX and OPEX of freight transport_wrtBAU,-0.0021117184743988378,0.001139476261783263,0.49151031822857594,1.0,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-35,High,High,75.0,-0.00423122207001202,0.6480325910250545,base,0.724,0.8578199052132701,0.790909952606635,Net CAPEX and OPEX of power and H2_wrtBAU,-0.002821631406693162,-0.00047473566206128904,0.47476988444161955,1.0,structured
