REGION,EMISSION,YEAR,VALUE
RD,turismo_residuos,2031,0.8204278668543075
RD,turismo_residuos,2032,0.4235516035319273
RD,CO2e_PP,2018,8.184518333333337
RD,CO2e_PP,2019,10.226346111111116
RD,CO2e_PP,2020,12.477007500000012
RD,CO2e_PP,2021,13.48757972222224
RD,CO2e_PP,2022,13.98915472222224
RD,CO2e_PP,2023,14.089354722222245
RD,CO2e_PP,2024,15.940257500000024
RD,CO2e_PP,2025,16.08307416666669
RD,CO2e_PP,2026,16.06930194444447
RD,CO2e_PP,2027,16.055558611111138
RD,CO2e_PP,2028,16.04175222222225
RD,CO2e_PP,2029,16.02800888888892
RD,CO2e_PP,2030,16.014236666666697
RD,CO2e_PP,2031,16.003298333333362
RD,CO2e_PP,2032,16.14897277777781
RD,CO2e_PP,2033,16.13806861111114
RD,CO2e_PP,2034,16.127151388888922
RD,CO2e_PP,2035,16.11621305555559
RD,CO2e_PP,2036,16.10529583333337
RD,CO2e_PP,2037,16.094391666666702
RD,CO2e_PP,2038,16.083453333333367
RD,CO2e_PP,2039,16.072536111111145
RD,CO2e_PP,2040,16.06163194444448
RD,CO2e_PP,2041,15.609828055555592
RD,CO2e_PP,2042,15.158071388888924
RD,CO2e_PP,2043,14.706301666666702
RD,CO2e_PP,2044,14.25451083333337
RD,CO2e_PP,2045,13.802741111111146
RD,CO2e_PP,2046,13.350984444444478
RD,CO2e_PP,2047,12.89918055555559
RD,CO2e_PP,2048,12.447423888888926
RD,CO2e_PP,2049,11.995620000000036
RD,CO2e_PP,2050,11.54386333333337
RD,CO2e_DE,2018,7.337286147531473
RD,CO2e_DE,2019,9.343182732531771
RD,CO2e_DE,2020,8.422157167031799
RD,CO2e_DE,2021,9.517397971075896
RD,CO2e_DE,2022,10.349908158297838
RD,CO2e_DE,2023,10.440031965286025
RD,CO2e_DE,2024,10.842931040854358
RD,CO2e_DE,2025,11.248682264714184
RD,CO2e_DE,2026,11.53725729261754
RD,CO2e_DE,2027,11.827122521309464
RD,CO2e_DE,2028,12.121462370279453
RD,CO2e_DE,2029,12.413332434114706
RD,CO2e_DE,2030,12.705138763383056
RD,CO2e_DE,2031,12.917964923992647
RD,CO2e_DE,2032,13.130811374602242
RD,CO2e_DE,2033,13.343636605211836
RD,CO2e_DE,2034,13.556494175821427
RD,CO2e_DE,2035,13.76931797643102
RD,CO2e_DE,2036,13.982158117040616
RD,CO2e_DE,2037,14.194971037650213
RD,CO2e_DE,2038,14.4078335082598
RD,CO2e_DE,2039,14.620689448869394
RD,CO2e_DE,2040,14.833515869478989
RD,CO2e_DE,2041,14.833171200721504
RD,CO2e_DE,2042,14.832819061964011
RD,CO2e_DE,2043,14.832499633206536
RD,CO2e_DE,2044,14.832148544449048
RD,CO2e_DE,2045,14.831807095691564
RD,CO2e_DE,2046,14.83146924693407
RD,CO2e_DE,2047,14.831130878176584
RD,CO2e_DE,2048,14.830790669419107
RD,CO2e_DE,2049,14.83044560066162
RD,CO2e_DE,2050,14.830135591904131
