REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
RD,All,DIST_COK,1,E1COK,2027,20.9959
RD,All,DIST_COK,1,E1COK,2028,21.4377
RD,All,DIST_COK,1,E1COK,2029,21.8794
RD,All,DIST_COK,1,E1COK,2030,22.3212
RD,All,DIST_COK,1,E1COK,2031,22.6076
RD,All,DIST_COK,1,E1COK,2032,22.894
RD,All,DIST_COK,1,E1COK,2033,23.1804
RD,All,DIST_COK,1,E1COK,2034,23.4668
RD,All,DIST_COK,1,E1COK,2035,23.7532
RD,All,DIST_COK,1,E1COK,2036,24.0396
RD,All,DIST_COK,1,E1COK,2037,24.326
RD,All,DIST_COK,1,E1COK,2038,24.6124
RD,All,DIST_COK,1,E1COK,2039,24.8989
RD,All,DIST_COK,1,E1COK,2040,25.1853
RD,All,DIST_COK,1,E1COK,2041,25.0606
RD,All,DIST_COK,1,E1COK,2042,24.936
RD,All,DIST_COK,1,E1COK,2043,24.8113
RD,All,DIST_COK,1,E1COK,2044,24.6867
RD,All,DIST_COK,1,E1COK,2045,24.562
RD,All,DIST_COK,1,E1COK,2046,24.4374
RD,All,DIST_COK,1,E1COK,2047,24.3127
RD,All,DIST_COK,1,E1COK,2048,24.1881
RD,All,DIST_COK,1,E1COK,2049,24.0634
RD,All,DIST_COK,1,E1COK,2050,23.9388
RD,All,DIST_KER,1,E1KER,2018,23.4833132997724
RD,All,DIST_KER,1,E1KER,2019,22.417178932622
RD,All,DIST_KER,1,E1KER,2020,9.450189421463108
RD,All,DIST_KER,1,E1KER,2021,15.970619248413
RD,All,DIST_KER,1,E1KER,2022,22.5056203199469
RD,All,DIST_KER,1,E1KER,2023,23.032820889202
RD,All,DIST_KER,1,E1KER,2024,23.9028717256103
RD,All,DIST_KER,1,E1KER,2025,24.7782550639364
RD,All,DIST_KER,1,E1KER,2026,25.602730360960095
RD,All,DIST_KER,1,E1KER,2027,26.441613612031095
RD,All,DIST_KER,1,E1KER,2028,27.3327644441926
RD,All,DIST_KER,1,E1KER,2029,28.1937081297979
RD,All,DIST_KER,1,E1KER,2030,29.0533467639565
RD,All,DIST_KER,1,E1KER,2031,29.829785852361702
RD,All,DIST_KER,1,E1KER,2032,30.6063249407669
RD,All,DIST_KER,1,E1KER,2033,31.382764029172098
RD,All,DIST_KER,1,E1KER,2034,32.1593031175773
RD,All,DIST_KER,1,E1KER,2035,32.9357422059825
RD,All,DIST_KER,1,E1KER,2036,33.712281294387694
RD,All,DIST_KER,1,E1KER,2037,34.488720382792906
RD,All,DIST_KER,1,E1KER,2038,35.2652594711981
RD,All,DIST_KER,1,E1KER,2039,36.0416985596033
RD,All,DIST_KER,1,E1KER,2040,36.8182376480085
RD,All,DIST_KER,1,E1KER,2041,37.3906070686123
RD,All,DIST_KER,1,E1KER,2042,37.9628764892161
RD,All,DIST_KER,1,E1KER,2043,38.53524590982
RD,All,DIST_KER,1,E1KER,2044,39.1075153304238
RD,All,DIST_KER,1,E1KER,2045,39.67988475102759
RD,All,DIST_KER,1,E1KER,2046,40.2521541716314
RD,All,DIST_KER,1,E1KER,2047,40.8245235922352
RD,All,DIST_KER,1,E1KER,2048,41.3967930128391
RD,All,DIST_KER,1,E1KER,2049,41.9691624334429
RD,All,DIST_KER,1,E1KER,2050,42.541531854046696
RD,All,DIST_COA,1,E1COA,2018,105.04054275
RD,All,DIST_COA,1,E1COA,2019,125.220252
RD,All,DIST_COA,1,E1COA,2020,210.41727506
RD,All,DIST_COA,1,E1COA,2021,142.652952
RD,All,DIST_COA,1,E1COA,2022,151.26317056000002
RD,All,DIST_COA,1,E1COA,2023,154.67758596000002
RD,All,DIST_COA,1,E1COA,2024,154.4674476
RD,All,DIST_COA,1,E1COA,2025,154.25858606
RD,All,DIST_COA,1,E1COA,2026,154.00092452
RD,All,DIST_COA,1,E1COA,2027,153.74336298
RD,All,DIST_COA,1,E1COA,2028,153.48512462000002
RD,All,DIST_COA,1,E1COA,2029,153.22746308
RD,All,DIST_COA,1,E1COA,2030,152.96990154
RD,All,DIST_COA,1,E1COA,2031,149.31772576
RD,All,DIST_COA,1,E1COA,2032,145.66612680000003
RD,All,DIST_COA,1,E1COA,2033,142.01462784
RD,All,DIST_COA,1,E1COA,2034,138.36302888
RD,All,DIST_COA,1,E1COA,2035,134.71095309999998
RD,All,DIST_COA,1,E1COA,2036,131.05935414
RD,All,DIST_COA,1,E1COA,2037,127.40775518
RD,All,DIST_COA,1,E1COA,2038,123.7556794
RD,All,DIST_COA,1,E1COA,2039,120.10408044
RD,All,DIST_COA,1,E1COA,2040,116.45248148
RD,All,DIST_COA,1,E1COA,2041,105.27699724
RD,All,DIST_COA,1,E1COA,2042,94.10198982
RD,All,DIST_COA,1,E1COA,2043,82.92698240000001
RD,All,DIST_COA,1,E1COA,2044,71.75139816000001
RD,All,DIST_COA,1,E1COA,2045,60.57649074
RD,All,DIST_COA,1,E1COA,2046,49.40148332
RD,All,DIST_COA,1,E1COA,2047,38.225899080000005
RD,All,DIST_COA,1,E1COA,2048,27.05089166
RD,All,DIST_COA,1,E1COA,2049,15.87540742
RD,All,DIST_COA,1,E1COA,2050,4.7004
RD,All,IMP_ELE,1,E1IEL,2018,0.000594
RD,All,IMP_ELE,1,E1IEL,2019,0.000594
RD,All,IMP_ELE,1,E1IEL,2020,0.000648
RD,All,IMP_ELE,1,E1IEL,2021,0.000702
RD,All,IMP_ELE,1,E1IEL,2022,0.000756
RD,All,IMP_ELE,1,E1IEL,2023,0.000756
RD,All,IMP_ELE,1,E1IEL,2024,0.00081
RD,All,IMP_ELE,1,E1IEL,2025,1.8622798315362024
RD,All,IMP_ELE,1,E1IEL,2026,2.7437751242226764
RD,All,IMP_ELE,1,E1IEL,2027,2.8918775482564323
RD,All,IMP_ELE,1,E1IEL,2028,3.072805869518141
RD,All,IMP_ELE,1,E1IEL,2029,3.2724557857401004
RD,All,IMP_ELE,1,E1IEL,2030,3.4970800713425167
RD,All,IMP_ELE,1,E1IEL,2031,3.7478539117120464
RD,All,IMP_ELE,1,E1IEL,2032,4.02849975902319
RD,All,IMP_ELE,1,E1IEL,2033,4.342103919872871
RD,All,IMP_ELE,1,E1IEL,2034,4.671195433422181
RD,All,IMP_ELE,1,E1IEL,2035,5.020693564369278
RD,All,IMP_ELE,1,E1IEL,2036,5.379449530983275
RD,All,IMP_ELE,1,E1IEL,2037,5.738691138061805
RD,All,IMP_ELE,1,E1IEL,2038,6.093678727728832
RD,All,IMP_ELE,1,E1IEL,2039,6.446198429458402
RD,All,IMP_ELE,1,E1IEL,2040,6.793442118820972
RD,All,IMP_ELE,1,E1IEL,2041,6.84235745335413
RD,All,IMP_ELE,1,E1IEL,2042,6.64532187336917
RD,All,IMP_ELE,1,E1IEL,2043,6.973030306881742
RD,All,IMP_ELE,1,E1IEL,2044,7.306798189820792
RD,All,IMP_ELE,1,E1IEL,2045,7.6487607505376385
RD,All,IMP_ELE,1,E1IEL,2046,7.995988428996434
RD,All,IMP_ELE,1,E1IEL,2047,8.35118129060933
RD,All,IMP_ELE,1,E1IEL,2048,8.615602975017929
RD,All,IMP_ELE,1,E1IEL,2049,8.307575297634411
RD,All,IMP_ELE,1,E1IEL,2050,8.553677804301074
RD,All,PPHDAM,1,E1ELE,2018,6.2139
RD,All,PPHDAM,1,E1ELE,2019,3.4668
RD,All,PPHDAM,1,E1ELE,2020,4.5335
RD,All,PPHDAM,1,E1ELE,2021,5.2779
RD,All,PPHDAM,1,E1ELE,2022,5.1403
RD,All,PPHDAM,1,E1ELE,2023,4.0784
RD,All,PPHDAM,1,E1ELE,2024,3.8524
RD,All,PPHDAM,1,E1ELE,2025,3.8524
RD,All,PPHDAM,1,E1ELE,2026,3.9094
RD,All,PPHDAM,1,E1ELE,2027,3.9664
RD,All,PPHDAM,1,E1ELE,2028,4.0234
RD,All,PPHDAM,1,E1ELE,2029,4.0804
RD,All,PPHDAM,1,E1ELE,2030,4.1374
RD,All,PPHDAM,1,E1ELE,2031,4.1944
RD,All,PPHDAM,1,E1ELE,2032,4.2514
RD,All,PPHDAM,1,E1ELE,2033,4.3084
RD,All,PPHDAM,1,E1ELE,2034,4.3654
RD,All,PPHDAM,1,E1ELE,2035,4.4224
RD,All,PPHDAM,1,E1ELE,2036,4.4794
RD,All,PPHDAM,1,E1ELE,2037,4.5364
RD,All,PPHDAM,1,E1ELE,2038,4.5934
RD,All,PPHDAM,1,E1ELE,2039,4.6504
RD,All,PPHDAM,1,E1ELE,2040,4.7074
RD,All,PPHDAM,1,E1ELE,2041,4.7644
RD,All,PPHDAM,1,E1ELE,2042,4.8215
RD,All,PPHDAM,1,E1ELE,2043,4.8785
RD,All,PPHDAM,1,E1ELE,2044,4.9355
RD,All,PPHDAM,1,E1ELE,2045,4.9925
RD,All,PPHDAM,1,E1ELE,2046,5.0495
RD,All,PPHDAM,1,E1ELE,2047,5.1065
RD,All,PPHDAM,1,E1ELE,2048,5.1635
RD,All,PPHDAM,1,E1ELE,2049,5.2205
RD,All,PPHDAM,1,E1ELE,2050,5.2775
RD,All,PPWNDON,1,E1ELE,2018,1.72217687616
RD,All,PPWNDON,1,E1ELE,2019,2.7835
RD,All,PPWNDON,1,E1ELE,2020,3.8843
RD,All,PPWNDON,1,E1ELE,2021,4.343
RD,All,PPWNDON,1,E1ELE,2022,4.1454
RD,All,PPWNDON,1,E1ELE,2023,3.9831
RD,All,PPWNDON,1,E1ELE,2024,2.8869
RD,All,PPWNDON,1,E1ELE,2025,3.1959
RD,All,PPWNDON,1,E1ELE,2026,3.814
RD,All,PPWNDON,1,E1ELE,2027,4.4321
RD,All,PPWNDON,1,E1ELE,2028,8.9818
RD,All,PPWNDON,1,E1ELE,2029,13.5314
RD,All,PPWNDON,1,E1ELE,2030,18.081
RD,All,PPWNDON,1,E1ELE,2031,19.3469
RD,All,PPWNDON,1,E1ELE,2032,20.6129
RD,All,PPWNDON,1,E1ELE,2033,21.8788
RD,All,PPWNDON,1,E1ELE,2034,23.1448
RD,All,PPWNDON,1,E1ELE,2035,24.4108
RD,All,PPWNDON,1,E1ELE,2036,25.6767
RD,All,PPWNDON,1,E1ELE,2037,26.9427
RD,All,PPWNDON,1,E1ELE,2038,28.2086
RD,All,PPWNDON,1,E1ELE,2039,29.4746
RD,All,PPWNDON,1,E1ELE,2040,30.7405
RD,All,PPWNDON,1,E1ELE,2041,32.0065
RD,All,PPWNDON,1,E1ELE,2042,33.2724
RD,All,PPWNDON,1,E1ELE,2043,34.5383
RD,All,PPWNDON,1,E1ELE,2044,35.8043
RD,All,PPWNDON,1,E1ELE,2045,37.0703
RD,All,PPWNDON,1,E1ELE,2046,38.3362
RD,All,PPWNDON,1,E1ELE,2047,39.6021
RD,All,PPWNDON,1,E1ELE,2048,40.8681
RD,All,PPWNDON,1,E1ELE,2049,42.1341
RD,All,PPWNDON,1,E1ELE,2050,43.4
RD,All,PPPVT,1,E1ELE,2018,0.2922128351999999
RD,All,PPPVT,1,E1ELE,2019,0.5628999999999998
RD,All,PPPVT,1,E1ELE,2020,1.076
RD,All,PPPVT,1,E1ELE,2021,1.7146
RD,All,PPPVT,1,E1ELE,2022,2.5825
RD,All,PPPVT,1,E1ELE,2023,3.909
RD,All,PPPVT,1,E1ELE,2024,9.9829
RD,All,PPPVT,1,E1ELE,2025,12.5789
RD,All,PPPVT,1,E1ELE,2026,13.8152
RD,All,PPPVT,1,E1ELE,2027,14.4333
RD,All,PPPVT,1,E1ELE,2028,15.9362
RD,All,PPPVT,1,E1ELE,2029,17.4391
RD,All,PPPVT,1,E1ELE,2030,18.942
RD,All,PPPVT,1,E1ELE,2031,20.4449
RD,All,PPPVT,1,E1ELE,2032,21.9478
RD,All,PPPVT,1,E1ELE,2033,23.4507
RD,All,PPPVT,1,E1ELE,2034,24.9536
RD,All,PPPVT,1,E1ELE,2035,26.4565
RD,All,PPPVT,1,E1ELE,2036,27.9594
RD,All,PPPVT,1,E1ELE,2037,29.4623
RD,All,PPPVT,1,E1ELE,2038,30.9652
RD,All,PPPVT,1,E1ELE,2039,32.4681
RD,All,PPPVT,1,E1ELE,2040,33.971
RD,All,PPPVT,1,E1ELE,2041,35.4739
RD,All,PPPVT,1,E1ELE,2042,36.9768
RD,All,PPPVT,1,E1ELE,2043,38.4797
RD,All,PPPVT,1,E1ELE,2044,39.9826
RD,All,PPPVT,1,E1ELE,2045,41.4855
RD,All,PPPVT,1,E1ELE,2046,42.9884
RD,All,PPPVT,1,E1ELE,2047,44.4913
RD,All,PPPVT,1,E1ELE,2048,45.9942
RD,All,PPPVT,1,E1ELE,2049,47.4971
RD,All,PPPVT,1,E1ELE,2050,49.0
RD,All,PPPVD,1,E3ELE,2018,0.5832216
RD,All,PPPVD,1,E3ELE,2019,0.5832216
RD,All,PPPVD,1,E3ELE,2020,0.5832216
RD,All,PPPVD,1,E3ELE,2021,0.5832216
RD,All,PPPVD,1,E3ELE,2022,0.5832216
RD,All,PPPVD,1,E3ELE,2023,0.5832216
RD,All,PPPVD,1,E3ELE,2024,0.5832216
RD,All,PPPVD,1,E3ELE,2025,0.5832216
RD,All,PPPVD,1,E3ELE,2026,0.5832216
RD,All,PPPVD,1,E3ELE,2027,0.5832216
RD,All,PPPVD,1,E3ELE,2028,0.5832216
RD,All,PPPVD,1,E3ELE,2029,0.5832216
RD,All,PPPVD,1,E3ELE,2030,0.5832216
RD,All,PPPVD,1,E3ELE,2031,0.5832216
RD,All,PPPVD,1,E3ELE,2032,0.5832216
RD,All,PPPVD,1,E3ELE,2033,0.5832216
RD,All,PPPVD,1,E3ELE,2034,0.5832216
RD,All,PPPVD,1,E3ELE,2035,0.5832216
RD,All,PPPVD,1,E3ELE,2036,0.5832216
RD,All,PPPVD,1,E3ELE,2037,0.5832216
RD,All,PPPVD,1,E3ELE,2038,0.5832216
RD,All,PPPVD,1,E3ELE,2039,0.5832216
RD,All,PPPVD,1,E3ELE,2040,0.5832216
RD,All,PPPVD,1,E3ELE,2041,0.5832216
RD,All,PPPVD,1,E3ELE,2042,0.5832216
RD,All,PPPVD,1,E3ELE,2043,0.5832216
RD,All,PPPVD,1,E3ELE,2044,0.5832216
RD,All,PPPVD,1,E3ELE,2045,0.5832216
RD,All,PPPVD,1,E3ELE,2046,0.5832216
RD,All,PPPVD,1,E3ELE,2047,0.5832216
RD,All,PPPVD,1,E3ELE,2048,0.5832216
RD,All,PPPVD,1,E3ELE,2049,0.5832216
RD,All,PPPVD,1,E3ELE,2050,0.5832216
RD,All,SOIALL,1,E1_SOI,2018,5.089048999999999
RD,All,SOIALL,1,E1_SOI,2019,5.089049
RD,All,SOIALL,1,E1_SOI,2020,5.089049
RD,All,SOIALL,1,E1_SOI,2021,5.089049
RD,All,SOIALL,1,E1_SOI,2022,5.105549
RD,All,SOIALL,1,E1_SOI,2023,5.105549
RD,All,SOIALL,1,E1_SOI,2024,5.105549
RD,All,SOIALL,1,E1_SOI,2025,5.105449
RD,All,SOIALL,1,E1_SOI,2026,5.105449
RD,All,SOIALL,1,E1_SOI,2027,5.105449
RD,All,SOIALL,1,E1_SOI,2028,5.105549
RD,All,SOIALL,1,E1_SOI,2029,5.105549
RD,All,SOIALL,1,E1_SOI,2030,5.105549
RD,All,SOIALL,1,E1_SOI,2031,5.105549
RD,All,SOIALL,1,E1_SOI,2032,5.105549
RD,All,SOIALL,1,E1_SOI,2033,5.105449
RD,All,SOIALL,1,E1_SOI,2034,5.105549
RD,All,SOIALL,1,E1_SOI,2035,5.105649
RD,All,SOIALL,1,E1_SOI,2036,5.105549
RD,All,SOIALL,1,E1_SOI,2037,5.105549
RD,All,SOIALL,1,E1_SOI,2038,5.105449
RD,All,SOIALL,1,E1_SOI,2039,5.105649
RD,All,SOIALL,1,E1_SOI,2040,5.105549
RD,All,SOIALL,1,E1_SOI,2041,5.105549
RD,All,SOIALL,1,E1_SOI,2042,5.105449
RD,All,SOIALL,1,E1_SOI,2043,5.105549
RD,All,SOIALL,1,E1_SOI,2044,5.105549000000001
RD,All,SOIALL,1,E1_SOI,2045,5.105449
RD,All,SOIALL,1,E1_SOI,2046,5.105449
RD,All,SOIALL,1,E1_SOI,2047,5.105549
RD,All,SOIALL,1,E1_SOI,2048,5.105549000000001
RD,All,SOIALL,1,E1_SOI,2049,5.105549
RD,All,SOIALL,1,E1_SOI,2050,5.105549
RD,All,IMPRIC,1,E3_RIC,2018,0.62
RD,All,IMPRIC,1,E3_RIC,2019,0.647
RD,All,IMPRIC,1,E3_RIC,2020,0.679
RD,All,IMPRIC,1,E3_RIC,2021,0.708
RD,All,IMPRIC,1,E3_RIC,2022,0.6189999999999999
RD,All,IMPRIC,1,E3_RIC,2023,0.6514999999999999
RD,All,IMPRIC,1,E3_RIC,2024,0.67201
RD,All,IMPRIC,1,E3_RIC,2025,0.6696302
RD,All,IMPRIC,1,E3_RIC,2026,0.6673608039999999
RD,All,IMPRIC,1,E3_RIC,2027,0.6650020199999999
RD,All,IMPRIC,1,E3_RIC,2028,0.66275406
RD,All,IMPRIC,1,E3_RIC,2029,0.660417142
RD,All,IMPRIC,1,E3_RIC,2030,0.658091485
RD,All,IMPRIC,1,E3_RIC,2031,0.655877314
RD,All,IMPRIC,1,E3_RIC,2032,0.6535748599999999
RD,All,IMPRIC,1,E3_RIC,2033,0.6513843579999999
RD,All,IMPRIC,1,E3_RIC,2034,0.6491060449999999
RD,All,IMPRIC,1,E3_RIC,2035,0.646840166
RD,All,IMPRIC,1,E3_RIC,2036,0.644686969
RD,All,IMPRIC,1,E3_RIC,2037,0.642446708
RD,All,IMPRIC,1,E3_RIC,2038,0.640219643
RD,All,IMPRIC,1,E3_RIC,2039,0.6381060349999998
RD,All,IMPRIC,1,E3_RIC,2040,0.635906156
RD,All,IMPRIC,1,E3_RIC,2041,0.633820279
RD,All,IMPRIC,1,E3_RIC,2042,0.631648685
RD,All,IMPRIC,1,E3_RIC,2043,0.629491659
RD,All,IMPRIC,1,E3_RIC,2044,0.627449492
RD,All,IMPRIC,1,E3_RIC,2045,0.6253224819999998
RD,All,IMPRIC,1,E3_RIC,2046,0.6233109309999999
RD,All,IMPRIC,1,E3_RIC,2047,0.62121515
RD,All,IMPRIC,1,E3_RIC,2048,0.619135453
RD,All,IMPRIC,1,E3_RIC,2049,0.617172162
