REGION,TECHNOLOGY,VALUE
RD,Techs_Buses_Micro,456.4833103191031
RD,Techs_He_Freight,73.50694444444444
RD,Techs_Li_Freight,581.3280645161291
RD,TRANE6NOMOT,434.60709999999995
RD,PROD_CAL,95.50810000000001
RD,PROD_FERRO,2.7599
RD,IWW,92.37783055089986
RD,R134a,22.9043
RD,R404A,2.8414999999999995
RD,R410A,2.2995
RD,SUB134a,35.9768
RD,SUB404A,5.802900000000001
RD,SUB410A,3.356899999999999
