,Parameter,YEAR,TECHNOLOGY,FUEL,EMISSION,VALUE
151,AccumulatedNewCapacity,2037,DIST_NGS,,,66.590217
152,AccumulatedNewCapacity,2038,DIST_NGS,,,67.788124
153,AccumulatedNewCapacity,2039,DIST_NGS,,,68.987586
154,AccumulatedNewCapacity,2040,DIST_NGS,,,70.188976
155,AccumulatedNewCapacity,2041,DIST_NGS,,,71.179443
156,AccumulatedNewCapacity,2042,DIST_NGS,,,70.257407
157,AccumulatedNewCapacity,2043,DIST_NGS,,,71.452272
158,AccumulatedNewCapacity,2044,DIST_NGS,,,72.6499
159,AccumulatedNewCapacity,2045,DIST_NGS,,,73.851416
160,AccumulatedNewCapacity,2046,DIST_NGS,,,75.01794
161,AccumulatedNewCapacity,2047,DIST_NGS,,,76.186101
162,AccumulatedNewCapacity,2048,DIST_NGS,,,77.357513
163,AccumulatedNewCapacity,2049,DIST_NGS,,,78.530983
164,AccumulatedNewCapacity,2050,DIST_NGS,,,79.707677
165,AccumulatedNewCapacity,2018,DIST_DSL,,,41.786279
166,AccumulatedNewCapacity,2019,DIST_DSL,,,45.299745
167,AccumulatedNewCapacity,2020,DIST_DSL,,,47.003576
168,AccumulatedNewCapacity,2021,DIST_DSL,,,46.017086
169,AccumulatedNewCapacity,2022,DIST_DSL,,,48.12529
170,AccumulatedNewCapacity,2023,DIST_DSL,,,52.462549
171,AccumulatedNewCapacity,2024,DIST_DSL,,,57.960295
172,AccumulatedNewCapacity,2025,DIST_DSL,,,60.224237
173,AccumulatedNewCapacity,2026,DIST_DSL,,,62.111782
174,AccumulatedNewCapacity,2027,DIST_DSL,,,63.102812
175,AccumulatedNewCapacity,2028,DIST_DSL,,,63.800323
176,AccumulatedNewCapacity,2029,DIST_DSL,,,64.270829
177,AccumulatedNewCapacity,2030,DIST_DSL,,,64.54605
178,AccumulatedNewCapacity,2031,DIST_DSL,,,67.31167
179,AccumulatedNewCapacity,2032,DIST_DSL,,,74.417647
180,AccumulatedNewCapacity,2033,DIST_DSL,,,74.83987
181,AccumulatedNewCapacity,2034,DIST_DSL,,,75.364604
182,AccumulatedNewCapacity,2035,DIST_DSL,,,75.78431
183,AccumulatedNewCapacity,2036,DIST_DSL,,,71.828304
184,AccumulatedNewCapacity,2037,DIST_DSL,,,71.359432
185,AccumulatedNewCapacity,2038,DIST_DSL,,,70.107443
186,AccumulatedNewCapacity,2039,DIST_DSL,,,70.294492
187,AccumulatedNewCapacity,2040,DIST_DSL,,,68.993689
188,AccumulatedNewCapacity,2041,DIST_DSL,,,67.114446
189,AccumulatedNewCapacity,2042,DIST_DSL,,,67.161118
190,AccumulatedNewCapacity,2043,DIST_DSL,,,66.76118
191,AccumulatedNewCapacity,2044,DIST_DSL,,,67.044967
192,AccumulatedNewCapacity,2045,DIST_DSL,,,67.400998
193,AccumulatedNewCapacity,2046,DIST_DSL,,,67.601693
194,AccumulatedNewCapacity,2047,DIST_DSL,,,67.854974
195,AccumulatedNewCapacity,2048,DIST_DSL,,,68.288745
196,AccumulatedNewCapacity,2049,DIST_DSL,,,69.001424
197,AccumulatedNewCapacity,2050,DIST_DSL,,,70.023071
198,AccumulatedNewCapacity,2018,DIST_GSL,,,74.743372
199,AccumulatedNewCapacity,2019,DIST_GSL,,,80.864196
200,AccumulatedNewCapacity,2020,DIST_GSL,,,81.926433
201,AccumulatedNewCapacity,2021,DIST_GSL,,,86.787386
202,AccumulatedNewCapacity,2022,DIST_GSL,,,93.078304
203,AccumulatedNewCapacity,2023,DIST_GSL,,,94.789513
204,AccumulatedNewCapacity,2024,DIST_GSL,,,98.303268
205,AccumulatedNewCapacity,2025,DIST_GSL,,,102.08333
206,AccumulatedNewCapacity,2026,DIST_GSL,,,109.23828
207,AccumulatedNewCapacity,2027,DIST_GSL,,,115.91958
208,AccumulatedNewCapacity,2028,DIST_GSL,,,122.93403
209,AccumulatedNewCapacity,2029,DIST_GSL,,,130.04596
210,AccumulatedNewCapacity,2030,DIST_GSL,,,137.38524
211,AccumulatedNewCapacity,2031,DIST_GSL,,,144.69605
212,AccumulatedNewCapacity,2032,DIST_GSL,,,152.36814
213,AccumulatedNewCapacity,2033,DIST_GSL,,,160.5006
214,AccumulatedNewCapacity,2034,DIST_GSL,,,169.07646
215,AccumulatedNewCapacity,2035,DIST_GSL,,,178.28431
216,AccumulatedNewCapacity,2036,DIST_GSL,,,181.46828
217,AccumulatedNewCapacity,2037,DIST_GSL,,,190.58316
218,AccumulatedNewCapacity,2038,DIST_GSL,,,198.75225
219,AccumulatedNewCapacity,2039,DIST_GSL,,,208.32194
220,AccumulatedNewCapacity,2040,DIST_GSL,,,218.40292
221,AccumulatedNewCapacity,2041,DIST_GSL,,,227.20185
222,AccumulatedNewCapacity,2042,DIST_GSL,,,238.1836
223,AccumulatedNewCapacity,2043,DIST_GSL,,,248.02714
224,AccumulatedNewCapacity,2044,DIST_GSL,,,259.90021
225,AccumulatedNewCapacity,2045,DIST_GSL,,,272.14992
226,AccumulatedNewCapacity,2046,DIST_GSL,,,283.92351
227,AccumulatedNewCapacity,2047,DIST_GSL,,,296.30922
228,AccumulatedNewCapacity,2048,DIST_GSL,,,309.34114
229,AccumulatedNewCapacity,2049,DIST_GSL,,,162.61575
230,AccumulatedNewCapacity,2050,DIST_GSL,,,168.0632
231,AccumulatedNewCapacity,2018,DIST_LPG,,,45.115807
232,AccumulatedNewCapacity,2019,DIST_LPG,,,46.490624
233,AccumulatedNewCapacity,2020,DIST_LPG,,,41.062901
234,AccumulatedNewCapacity,2021,DIST_LPG,,,44.986187
235,AccumulatedNewCapacity,2022,DIST_LPG,,,46.319417
236,AccumulatedNewCapacity,2023,DIST_LPG,,,46.676483
237,AccumulatedNewCapacity,2024,DIST_LPG,,,48.317684
238,AccumulatedNewCapacity,2025,DIST_LPG,,,48.803138
239,AccumulatedNewCapacity,2026,DIST_LPG,,,50.440456
