Strategy,Future.ID,Technology,Fuel,Fuel_Surname,Year,Age,Actor,Actor_Type,Owner,GorS,DAI,Customs,SC,VAT-Imports,Total Import Taxes,GE,Vehicle Purchase,Property Tax,IUC,VAT-Electricity,H2,VKT,Energy Sales and Purchases,Investments and FOM,Variable Costs,Service Sales,Service Purchases,Investments,FOM,DAI Disc,Customs Disc,SC Disc,VAT-Imports Disc,Total Import Taxes Disc,GE Disc,Vehicle Purchase Disc,Property Tax Disc,IUC Disc,VAT-Electricity Disc,H2 Disc,VKT Disc,Energy Sales and Purchases Disc,Investments and FOM Disc,Variable Costs Disc,Service Sales Disc,Service Purchases Disc,Investments Disc,FOM Disc,Energy Price,Energy Price wTax,Energy Tax,Service Price,U SC,U Total Import Taxes,U Market Price,U CIF,Q Imports,U VKT,Q Total,U Property Tax,FV,GDP
BAU,0,,,,2018,,public_transport_users,Type_5,Q4_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.02239999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.02239999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,public_transport_users,Type_5,Q5_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.22290000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.22290000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,special_transport_companies,Type_3,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1214,16.4042,0.0,0.0,0.0,44.8241,71.7357,0.0,0.0,0.0,0.0,71.7357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1214,16.4042,0.0,0.0,0.0,44.8241,71.7357,0.0,0.0,0.0,0.0,71.7357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,taxi_industry,Type_3,Businesses,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.5711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.5711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,taxi_industry,Type_3,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,18.2146,0.0,0.0,0.0,34.284,63.9173,0.0,0.0,0.0,29.8717,34.04559999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,18.2146,0.0,0.0,0.0,34.284,63.9173,0.0,0.0,0.0,29.8717,34.04559999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2019,,bus_companies,Type_3,Businesses,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.6041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.24199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,bus_companies,Type_3,Businesses,Spend,1.7273,0.0,0.0,0.0,1.7273,0.0,47.9303,0.0919,29.0958,0.0,0.0,0.0,71.4353,148.241,0.0,0.0,0.0,71.3179,76.9231,1.645,0.0,0.0,0.0,1.645,0.0,45.6479,0.0875,27.7103,0.0,0.0,0.0,68.0336,141.1819,0.0,0.0,0.0,67.9218,73.2601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,central_government,Type_1,Other,Gather,23.9996,11.1404,270.06919999999997,223.7874,528.9966000000001,0.0,0.0,281.00579999999997,790.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.856800000000003,10.610100000000001,257.20869999999996,213.1307,503.8062,0.0,0.0,267.62460000000004,752.4454000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,central_government,Type_1,Other,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,electricity_companies,Type_2,Businesses,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.7869999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.6066999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
