,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
127,2023.0,DIST_NGS,,,36.10241449183593,,,,,586.1479709651006,,,,,36.10241449183593,,,36.10241449183593,,,,,,36.10241449183593,36.10241449183593,,36.10241449183593,,
128,2024.0,DIST_NGS,,,38.374464793716285,,,,,498.75291892393057,,,,,38.374464793716285,,,38.374464793716285,,,,,,38.374464793716285,38.374464793716285,,38.374464793716285,,
129,2025.0,DIST_NGS,,,39.77256780383425,,,,,457.6907785161834,,,,,39.77256780383425,,,39.77256780383425,,,,,,39.77256780383425,39.77256780383425,,39.77256780383425,,
130,2026.0,DIST_NGS,,,40.23369845378425,,,,,457.3887541321555,,,,,40.23369845378425,,,40.23369845378425,,,,,,40.23369845378425,40.23369845378425,,40.23369845378425,,
131,2027.0,DIST_NGS,,,46.78271235387941,,,,,525.3230770217118,,,,,46.78271235387941,,,46.78271235387941,,,,,,46.78271235387941,46.78271235387941,,46.78271235387941,,
132,2028.0,DIST_NGS,,,47.18922498175479,,,,,523.309629357668,,,,,47.18922498175479,,,47.18922498175479,,,,,,47.18922498175479,47.18922498175479,,47.18922498175479,,
133,2029.0,DIST_NGS,,,47.58586175859392,,,,,521.0747034289551,,,,,47.58586175859392,,,47.58586175859392,,,,,,47.58586175859392,47.58586175859392,,47.58586175859392,,
134,2030.0,DIST_NGS,,,47.974601979556894,,,,,518.6486245407916,,,,,47.974601979556894,,,47.974601979556894,,,,,,47.974601979556894,47.974601979556894,,47.974601979556894,,
135,2031.0,DIST_NGS,,,48.89371331008786,,,,,521.7692615886027,,,,,48.89371331008786,,,48.89371331008786,,,,,,48.89371331008786,48.89371331008786,,48.89371331008786,,
136,2032.0,DIST_NGS,,,51.852324640618846,,,,,546.1190535799258,,,,,51.852324640618846,,,51.852324640618846,,,,,,51.852324640618846,51.852324640618846,,51.852324640618846,,
